version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
3.f1           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:04:09.816097+0000   482'12   556:466   [21,13,18,5]          21   [21,13,18,5]              21      482'12  2022-02-28T16:44:17.021699+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f6           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:04:08.991362+0000    482'7    556:47      [7,12,10]           7      [7,12,10]               7       482'7  2022-02-28T16:43:45.818094+0000            482'7  2022-02-28T16:43:45.818094+0000              0
6.f5           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.991801+0000      0'0   556:217      [0,18,10]           0      [0,18,10]               0         0'0  2022-02-28T16:32:06.939206+0000              0'0  2022-02-28T16:32:06.939206+0000              0
5.f6           0                   0         0          0        0         0            0           0    7         7       active+clean  2022-02-28T19:03:20.740990+0000    482'7    556:53      [16,12,6]          16      [16,12,6]              16       482'7  2022-02-28T16:37:40.087067+0000            482'7  2022-02-28T16:37:40.087067+0000              0
3.f0           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:04:11.626892+0000   482'12   556:245   [19,18,10,8]          19   [19,18,10,8]              19      482'12  2022-02-28T16:33:37.824296+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.f7           0                   0         0          0        0         0            0           0    3         3       active+clean  2022-02-28T19:03:20.932409+0000    482'3    556:98       [19,6,9]          19       [19,6,9]              19       482'3  2022-02-28T16:33:27.815809+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ea           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:09.821042+0000      0'0    556:62      [18,10,1]          18      [18,10,1]              18         0'0  2022-02-28T16:33:07.237886+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.e9           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:10.489423+0000    482'4    556:62      [20,8,10]          20      [20,8,10]              20       482'4  2022-02-28T16:37:34.855000+0000              0'0  2022-02-24T18:01:08.581312+0000              0
3.ef           0                   0         0          0        0         0            0           0   21        21       active+clean  2022-02-28T19:04:10.346939+0000   482'21   556:307   [21,13,11,6]          21   [21,13,11,6]              21      482'21  2022-02-28T16:32:35.943481+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.e8           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:11.185055+0000    482'2    556:53      [19,10,8]          19      [19,10,8]              19       482'2  2022-02-28T16:33:07.115313+0000            482'2  2022-02-28T16:33:07.115313+0000              0
6.eb           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:11.092131+0000      0'0    556:53     [18,21,11]          18     [18,21,11]              18         0'0  2022-02-28T16:33:47.733323+0000              0'0  2022-02-23T17:14:19.618385+0000              0
